abstract_name,compleate_phrase,discipline,field,filename,frame,frame_elements,journal,lexical_unit,lexical_unit_end,lexical_unit_start,sentence_count
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,Here we show that covalent aryl diazonium functionalization suppresses the chemical degradation of exfoliated BP even after three weeks of ambient exposure .,HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Weapon,"{ ""frameElement"": ""Weapon"", ""starts"": 10, ""ends"": 11, ""word"": ""chemical"" }",NATURE CHEMISTRY,chemical,11,10,4
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,Here we show that covalent aryl diazonium functionalization suppresses the chemical degradation of exfoliated BP even after three weeks of ambient exposure .,HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Cardinal_numbers,"{ ""frameElement"": ""Number"", ""starts"": 17, ""ends"": 18, ""word"": ""three"" }, { ""frameElement"": ""Entity"", ""starts"": 18, ""ends"": 19, ""word"": ""weeks"" }",NATURE CHEMISTRY,three,18,17,4
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,Here we show that covalent aryl diazonium functionalization suppresses the chemical degradation of exfoliated BP even after three weeks of ambient exposure .,HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Calendric_unit,"{ ""frameElement"": ""Unit"", ""starts"": 18, ""ends"": 19, ""word"": ""weeks"" }, { ""frameElement"": ""Count"", ""starts"": 17, ""ends"": 18, ""word"": ""three"" }",NATURE CHEMISTRY,weeks,19,18,4
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"This chemical modification scheme spontaneously forms phosphorus-carbon bonds , has a reaction rate sensitive to the aryl diazonium substituent and alters the electronic properties of exfoliated BP , ultimately yielding a strong , tunable p-type doping that simultaneously improves the field-effect transistor mobility and on/off current ratio .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Weapon,"{ ""frameElement"": ""Weapon"", ""starts"": 1, ""ends"": 2, ""word"": ""chemical"" }",NATURE CHEMISTRY,chemical,2,1,5
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"This chemical modification scheme spontaneously forms phosphorus-carbon bonds , has a reaction rate sensitive to the aryl diazonium substituent and alters the electronic properties of exfoliated BP , ultimately yielding a strong , tunable p-type doping that simultaneously improves the field-effect transistor mobility and on/off current ratio .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Cause_change,"{ ""frameElement"": ""Entity"", ""starts"": 1, ""ends"": 2, ""word"": ""chemical"" }",NATURE CHEMISTRY,modification,3,2,5
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"This chemical modification scheme spontaneously forms phosphorus-carbon bonds , has a reaction rate sensitive to the aryl diazonium substituent and alters the electronic properties of exfoliated BP , ultimately yielding a strong , tunable p-type doping that simultaneously improves the field-effect transistor mobility and on/off current ratio .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Project,"{ ""frameElement"": ""Project"", ""starts"": 3, ""ends"": 4, ""word"": ""scheme"" }",NATURE CHEMISTRY,scheme,4,3,5
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"This chemical modification scheme spontaneously forms phosphorus-carbon bonds , has a reaction rate sensitive to the aryl diazonium substituent and alters the electronic properties of exfoliated BP , ultimately yielding a strong , tunable p-type doping that simultaneously improves the field-effect transistor mobility and on/off current ratio .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Creating,"{ ""frameElement"": ""Created_entity"", ""starts"": 6, ""ends"": 8, ""word"": ""phosphorus-carbon bonds"" }",NATURE CHEMISTRY,forms,6,5,5
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"This chemical modification scheme spontaneously forms phosphorus-carbon bonds , has a reaction rate sensitive to the aryl diazonium substituent and alters the electronic properties of exfoliated BP , ultimately yielding a strong , tunable p-type doping that simultaneously improves the field-effect transistor mobility and on/off current ratio .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Connectors,"{ ""frameElement"": ""Connector"", ""starts"": 7, ""ends"": 8, ""word"": ""bonds"" }",NATURE CHEMISTRY,bonds,8,7,5
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"This chemical modification scheme spontaneously forms phosphorus-carbon bonds , has a reaction rate sensitive to the aryl diazonium substituent and alters the electronic properties of exfoliated BP , ultimately yielding a strong , tunable p-type doping that simultaneously improves the field-effect transistor mobility and on/off current ratio .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Inclusion,"{ ""frameElement"": ""Part"", ""starts"": 10, ""ends"": 19, ""word"": ""a reaction rate sensitive to the aryl diazonium substituent"" }, { ""frameElement"": ""Total"", ""starts"": 0, ""ends"": 4, ""word"": ""This chemical modification scheme"" }",NATURE CHEMISTRY,has,10,9,5
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"This chemical modification scheme spontaneously forms phosphorus-carbon bonds , has a reaction rate sensitive to the aryl diazonium substituent and alters the electronic properties of exfoliated BP , ultimately yielding a strong , tunable p-type doping that simultaneously improves the field-effect transistor mobility and on/off current ratio .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Response,,NATURE CHEMISTRY,reaction,12,11,5
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"This chemical modification scheme spontaneously forms phosphorus-carbon bonds , has a reaction rate sensitive to the aryl diazonium substituent and alters the electronic properties of exfoliated BP , ultimately yielding a strong , tunable p-type doping that simultaneously improves the field-effect transistor mobility and on/off current ratio .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Frequency,"{ ""frameElement"": ""Rate"", ""starts"": 11, ""ends"": 12, ""word"": ""reaction"" }",NATURE CHEMISTRY,rate,13,12,5
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"This chemical modification scheme spontaneously forms phosphorus-carbon bonds , has a reaction rate sensitive to the aryl diazonium substituent and alters the electronic properties of exfoliated BP , ultimately yielding a strong , tunable p-type doping that simultaneously improves the field-effect transistor mobility and on/off current ratio .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Health_response,"{ ""frameElement"": ""Trigger"", ""starts"": 14, ""ends"": 19, ""word"": ""to the aryl diazonium substituent"" }, { ""frameElement"": ""Protagonist"", ""starts"": 10, ""ends"": 13, ""word"": ""a reaction rate"" }",NATURE CHEMISTRY,sensitive,14,13,5
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"This chemical modification scheme spontaneously forms phosphorus-carbon bonds , has a reaction rate sensitive to the aryl diazonium substituent and alters the electronic properties of exfoliated BP , ultimately yielding a strong , tunable p-type doping that simultaneously improves the field-effect transistor mobility and on/off current ratio .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Possession,"{ ""frameElement"": ""Possession"", ""starts"": 24, ""ends"": 27, ""word"": ""of exfoliated BP"" }",NATURE CHEMISTRY,properties,24,23,5
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"This chemical modification scheme spontaneously forms phosphorus-carbon bonds , has a reaction rate sensitive to the aryl diazonium substituent and alters the electronic properties of exfoliated BP , ultimately yielding a strong , tunable p-type doping that simultaneously improves the field-effect transistor mobility and on/off current ratio .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Temporal_collocation,,NATURE CHEMISTRY,ultimately,29,28,5
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"This chemical modification scheme spontaneously forms phosphorus-carbon bonds , has a reaction rate sensitive to the aryl diazonium substituent and alters the electronic properties of exfoliated BP , ultimately yielding a strong , tunable p-type doping that simultaneously improves the field-effect transistor mobility and on/off current ratio .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Creating,"{ ""frameElement"": ""Created_entity"", ""starts"": 30, ""ends"": 36, ""word"": ""a strong , tunable p-type doping"" }",NATURE CHEMISTRY,yielding,30,29,5
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"This chemical modification scheme spontaneously forms phosphorus-carbon bonds , has a reaction rate sensitive to the aryl diazonium substituent and alters the electronic properties of exfoliated BP , ultimately yielding a strong , tunable p-type doping that simultaneously improves the field-effect transistor mobility and on/off current ratio .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Exertive_force,,NATURE CHEMISTRY,strong,32,31,5
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"This chemical modification scheme spontaneously forms phosphorus-carbon bonds , has a reaction rate sensitive to the aryl diazonium substituent and alters the electronic properties of exfoliated BP , ultimately yielding a strong , tunable p-type doping that simultaneously improves the field-effect transistor mobility and on/off current ratio .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Temporal_collocation,"{ ""frameElement"": ""Trajector_event"", ""starts"": 30, ""ends"": 36, ""word"": ""a strong , tunable p-type doping"" }",NATURE CHEMISTRY,simultaneously,38,37,5
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"This chemical modification scheme spontaneously forms phosphorus-carbon bonds , has a reaction rate sensitive to the aryl diazonium substituent and alters the electronic properties of exfoliated BP , ultimately yielding a strong , tunable p-type doping that simultaneously improves the field-effect transistor mobility and on/off current ratio .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Cause_to_make_progress,"{ ""frameElement"": ""Time"", ""starts"": 37, ""ends"": 38, ""word"": ""simultaneously"" }, { ""frameElement"": ""Agent"", ""starts"": 35, ""ends"": 36, ""word"": ""doping"" }, { ""frameElement"": ""Project"", ""starts"": 39, ""ends"": 47, ""word"": ""the field-effect transistor mobility and on/off current ratio"" }",NATURE CHEMISTRY,improves,39,38,5
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"This chemical modification scheme spontaneously forms phosphorus-carbon bonds , has a reaction rate sensitive to the aryl diazonium substituent and alters the electronic properties of exfoliated BP , ultimately yielding a strong , tunable p-type doping that simultaneously improves the field-effect transistor mobility and on/off current ratio .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Temporal_collocation,"{ ""frameElement"": ""Trajector_entity"", ""starts"": 46, ""ends"": 47, ""word"": ""ratio"" }",NATURE CHEMISTRY,current,46,45,5
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"This chemical functionalization pathway controllably modifies the properties of exfoliated BP , and thus improves its prospects for nanoelectronic applications .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Weapon,"{ ""frameElement"": ""Weapon"", ""starts"": 1, ""ends"": 2, ""word"": ""chemical"" }",NATURE CHEMISTRY,chemical,2,1,6
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"This chemical functionalization pathway controllably modifies the properties of exfoliated BP , and thus improves its prospects for nanoelectronic applications .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Roadways,"{ ""frameElement"": ""Roadway"", ""starts"": 3, ""ends"": 4, ""word"": ""pathway"" }",NATURE CHEMISTRY,pathway,4,3,6
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"This chemical functionalization pathway controllably modifies the properties of exfoliated BP , and thus improves its prospects for nanoelectronic applications .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Cause_change,"{ ""frameElement"": ""Agent"", ""starts"": 0, ""ends"": 4, ""word"": ""This chemical functionalization pathway"" }, { ""frameElement"": ""Entity"", ""starts"": 6, ""ends"": 11, ""word"": ""the properties of exfoliated BP"" }",NATURE CHEMISTRY,modifies,6,5,6
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"This chemical functionalization pathway controllably modifies the properties of exfoliated BP , and thus improves its prospects for nanoelectronic applications .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Possession,"{ ""frameElement"": ""Possession"", ""starts"": 6, ""ends"": 11, ""word"": ""the properties of exfoliated BP"" }",NATURE CHEMISTRY,properties,8,7,6
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"This chemical functionalization pathway controllably modifies the properties of exfoliated BP , and thus improves its prospects for nanoelectronic applications .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Cause_to_make_progress,"{ ""frameElement"": ""Agent"", ""starts"": 6, ""ends"": 11, ""word"": ""the properties of exfoliated BP"" }, { ""frameElement"": ""Project"", ""starts"": 15, ""ends"": 20, ""word"": ""its prospects for nanoelectronic applications"" }",NATURE CHEMISTRY,improves,15,14,6
Covalent functionalization and passivation of exfoliated black phosphorus via aryl diazonium chemistry,"This chemical functionalization pathway controllably modifies the properties of exfoliated BP , and thus improves its prospects for nanoelectronic applications .",HARD SCIENCES,CHEMISTRY,2016-jun_JA_10-1038_NCHEM-2505_nature-chemistry_ryder_christopher,Purpose,"{ ""frameElement"": ""Goal"", ""starts"": 18, ""ends"": 19, ""word"": ""nanoelectronic"" }",NATURE CHEMISTRY,applications,20,19,6
Valley Zeeman effect in elementary optical excitations of monolayer WSe2,Valley Zeeman effect in elementary optical excitations of monolayer WSe2 .,HARD SCIENCES,PHYSICS,2015-feb_JA_10-1038_NPHYS3203_nature-physics_srivastava_ajit,Natural_features,"{ ""frameElement"": ""Locale"", ""starts"": 0, ""ends"": 1, ""word"": ""Valley"" }",NATURE PHYSICS,Valley,1,0,1
Valley Zeeman effect in elementary optical excitations of monolayer WSe2,Valley Zeeman effect in elementary optical excitations of monolayer WSe2 .,HARD SCIENCES,PHYSICS,2015-feb_JA_10-1038_NPHYS3203_nature-physics_srivastava_ajit,Objective_influence,,NATURE PHYSICS,effect,3,2,1
Valley Zeeman effect in elementary optical excitations of monolayer WSe2,"A monolayer of a transition metal dichalcogenide such as WSe2 is a two-dimensional direct-bandgap valley-semiconductor -LRB- 1 , 2 -RRB- having an effective honeycomb lattice structure with broken inversion symmetry .",HARD SCIENCES,PHYSICS,2015-feb_JA_10-1038_NPHYS3203_nature-physics_srivastava_ajit,Undergo_change,,NATURE PHYSICS,transition,5,4,2
Valley Zeeman effect in elementary optical excitations of monolayer WSe2,"A monolayer of a transition metal dichalcogenide such as WSe2 is a two-dimensional direct-bandgap valley-semiconductor -LRB- 1 , 2 -RRB- having an effective honeycomb lattice structure with broken inversion symmetry .",HARD SCIENCES,PHYSICS,2015-feb_JA_10-1038_NPHYS3203_nature-physics_srivastava_ajit,Substance,"{ ""frameElement"": ""Substance"", ""starts"": 5, ""ends"": 6, ""word"": ""metal"" }",NATURE PHYSICS,metal,6,5,2
Valley Zeeman effect in elementary optical excitations of monolayer WSe2,"A monolayer of a transition metal dichalcogenide such as WSe2 is a two-dimensional direct-bandgap valley-semiconductor -LRB- 1 , 2 -RRB- having an effective honeycomb lattice structure with broken inversion symmetry .",HARD SCIENCES,PHYSICS,2015-feb_JA_10-1038_NPHYS3203_nature-physics_srivastava_ajit,Cardinal_numbers,"{ ""frameElement"": ""Number"", ""starts"": 18, ""ends"": 19, ""word"": ""2"" }",NATURE PHYSICS,2,19,18,2
Valley Zeeman effect in elementary optical excitations of monolayer WSe2,"A monolayer of a transition metal dichalcogenide such as WSe2 is a two-dimensional direct-bandgap valley-semiconductor -LRB- 1 , 2 -RRB- having an effective honeycomb lattice structure with broken inversion symmetry .",HARD SCIENCES,PHYSICS,2015-feb_JA_10-1038_NPHYS3203_nature-physics_srivastava_ajit,Possession,"{ ""frameElement"": ""Possession"", ""starts"": 21, ""ends"": 26, ""word"": ""an effective honeycomb lattice structure"" }, { ""frameElement"": ""Owner"", ""starts"": 14, ""ends"": 15, ""word"": ""valley-semiconductor"" }",NATURE PHYSICS,having,21,20,2
Valley Zeeman effect in elementary optical excitations of monolayer WSe2,"A monolayer of a transition metal dichalcogenide such as WSe2 is a two-dimensional direct-bandgap valley-semiconductor -LRB- 1 , 2 -RRB- having an effective honeycomb lattice structure with broken inversion symmetry .",HARD SCIENCES,PHYSICS,2015-feb_JA_10-1038_NPHYS3203_nature-physics_srivastava_ajit,Usefulness,"{ ""frameElement"": ""Entity"", ""starts"": 23, ""ends"": 24, ""word"": ""honeycomb"" }",NATURE PHYSICS,effective,23,22,2
Valley Zeeman effect in elementary optical excitations of monolayer WSe2,"A monolayer of a transition metal dichalcogenide such as WSe2 is a two-dimensional direct-bandgap valley-semiconductor -LRB- 1 , 2 -RRB- having an effective honeycomb lattice structure with broken inversion symmetry .",HARD SCIENCES,PHYSICS,2015-feb_JA_10-1038_NPHYS3203_nature-physics_srivastava_ajit,Buildings,"{ ""frameElement"": ""Building"", ""starts"": 25, ""ends"": 26, ""word"": ""structure"" }",NATURE PHYSICS,structure,26,25,2
Valley Zeeman effect in elementary optical excitations of monolayer WSe2,"A monolayer of a transition metal dichalcogenide such as WSe2 is a two-dimensional direct-bandgap valley-semiconductor -LRB- 1 , 2 -RRB- having an effective honeycomb lattice structure with broken inversion symmetry .",HARD SCIENCES,PHYSICS,2015-feb_JA_10-1038_NPHYS3203_nature-physics_srivastava_ajit,Being_operational,,NATURE PHYSICS,broken,28,27,2
Valley Zeeman effect in elementary optical excitations of monolayer WSe2,"The inequivalent valleys in the Brillouin zone could be selectively addressed using circularly polarized light fields ' , suggesting the possibility for magneto-optical measurement and manipulation of the valley pseudospin degree of freedom -LRB- 6-8 -RRB- .",HARD SCIENCES,PHYSICS,2015-feb_JA_10-1038_NPHYS3203_nature-physics_srivastava_ajit,Natural_features,"{ ""frameElement"": ""Locale"", ""starts"": 2, ""ends"": 3, ""word"": ""valleys"" }",NATURE PHYSICS,valleys,3,2,3
Valley Zeeman effect in elementary optical excitations of monolayer WSe2,"The inequivalent valleys in the Brillouin zone could be selectively addressed using circularly polarized light fields ' , suggesting the possibility for magneto-optical measurement and manipulation of the valley pseudospin degree of freedom -LRB- 6-8 -RRB- .",HARD SCIENCES,PHYSICS,2015-feb_JA_10-1038_NPHYS3203_nature-physics_srivastava_ajit,Locale,"{ ""frameElement"": ""Locale"", ""starts"": 6, ""ends"": 7, ""word"": ""zone"" }, { ""frameElement"": ""Descriptor"", ""starts"": 5, ""ends"": 6, ""word"": ""Brillouin"" }",NATURE PHYSICS,zone,7,6,3
Valley Zeeman effect in elementary optical excitations of monolayer WSe2,"The inequivalent valleys in the Brillouin zone could be selectively addressed using circularly polarized light fields ' , suggesting the possibility for magneto-optical measurement and manipulation of the valley pseudospin degree of freedom -LRB- 6-8 -RRB- .",HARD SCIENCES,PHYSICS,2015-feb_JA_10-1038_NPHYS3203_nature-physics_srivastava_ajit,Capability,"{ ""frameElement"": ""Event"", ""starts"": 8, ""ends"": 9, ""word"": ""be"" }, { ""frameElement"": ""Entity"", ""starts"": 0, ""ends"": 7, ""word"": ""The inequivalent valleys in the Brillouin zone"" }",NATURE PHYSICS,could,8,7,3
Valley Zeeman effect in elementary optical excitations of monolayer WSe2,"The inequivalent valleys in the Brillouin zone could be selectively addressed using circularly polarized light fields ' , suggesting the possibility for magneto-optical measurement and manipulation of the valley pseudospin degree of freedom -LRB- 6-8 -RRB- .",HARD SCIENCES,PHYSICS,2015-feb_JA_10-1038_NPHYS3203_nature-physics_srivastava_ajit,Statement,"{ ""frameElement"": ""Message"", ""starts"": 0, ""ends"": 7, ""word"": ""The inequivalent valleys in the Brillouin zone"" }",NATURE PHYSICS,addressed,11,10,3
Valley Zeeman effect in elementary optical excitations of monolayer WSe2,"The inequivalent valleys in the Brillouin zone could be selectively addressed using circularly polarized light fields ' , suggesting the possibility for magneto-optical measurement and manipulation of the valley pseudospin degree of freedom -LRB- 6-8 -RRB- .",HARD SCIENCES,PHYSICS,2015-feb_JA_10-1038_NPHYS3203_nature-physics_srivastava_ajit,Using,"{ ""frameElement"": ""Instrument"", ""starts"": 12, ""ends"": 16, ""word"": ""circularly polarized light fields"" }",NATURE PHYSICS,using,12,11,3
Valley Zeeman effect in elementary optical excitations of monolayer WSe2,"The inequivalent valleys in the Brillouin zone could be selectively addressed using circularly polarized light fields ' , suggesting the possibility for magneto-optical measurement and manipulation of the valley pseudospin degree of freedom -LRB- 6-8 -RRB- .",HARD SCIENCES,PHYSICS,2015-feb_JA_10-1038_NPHYS3203_nature-physics_srivastava_ajit,Dimension,"{ ""frameElement"": ""Object"", ""starts"": 15, ""ends"": 16, ""word"": ""fields"" }, { ""frameElement"": ""Dimension"", ""starts"": 14, ""ends"": 15, ""word"": ""light"" }",NATURE PHYSICS,light,15,14,3
Valley Zeeman effect in elementary optical excitations of monolayer WSe2,"The inequivalent valleys in the Brillouin zone could be selectively addressed using circularly polarized light fields ' , suggesting the possibility for magneto-optical measurement and manipulation of the valley pseudospin degree of freedom -LRB- 6-8 -RRB- .",HARD SCIENCES,PHYSICS,2015-feb_JA_10-1038_NPHYS3203_nature-physics_srivastava_ajit,Fields,,NATURE PHYSICS,fields,16,15,3
