ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
2,driven,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Descriptor
3,heterojunction,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Descriptor
4,unk,_,UNK,_,NNS,1,_,_,_,_,_,_,_,I-Descriptor
5,for,_,for,_,IN,1,_,_,_,_,_,for.prep,Taking_sides,S-Degree
6,water,_,water,_,NN,1,_,_,_,_,_,_,_,S-Cognizer
7,splitting,_,split,_,VBG,1,_,_,_,_,_,_,_,B-Degree
8,-,_,-,_,:,1,_,_,_,_,_,_,_,I-Degree
9,a,_,a,_,DT,1,_,_,_,_,_,_,_,I-Degree
10,critical,_,critical,_,JJ,1,_,_,_,_,_,_,_,I-Degree
11,review,_,review,_,NN,1,_,_,_,_,_,_,_,I-Degree
12,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Degree
1,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
2,driven,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
3,heterojunction,_,UNK,_,NN,1,_,_,_,_,_,_,_,O
4,unk,_,UNK,_,NNS,1,_,_,_,_,_,_,_,O
5,for,_,for,_,IN,1,_,_,_,_,_,_,_,O
6,water,_,water,_,NN,1,_,_,_,_,_,_,_,S-Speed
7,splitting,_,split,_,VBG,1,_,_,_,_,_,split.v,Quitting_a_place,O
8,-,_,-,_,:,1,_,_,_,_,_,_,_,B-Self_mover
9,a,_,a,_,DT,1,_,_,_,_,_,_,_,I-Self_mover
10,critical,_,critical,_,JJ,1,_,_,_,_,_,_,_,I-Self_mover
11,review,_,review,_,NN,1,_,_,_,_,_,_,_,O
12,.,_,.,_,.,1,_,_,_,_,_,_,_,O
1,high-performance,_,UNK,_,NNP,1,_,_,_,_,_,_,_,B-Use
2,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Use
3,polymer,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Use
4,solar,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Use
5,cells,_,cell,_,NNS,1,_,_,_,_,_,cell.n,Building_subparts,O
6,with,_,with,_,IN,1,_,_,_,_,_,_,_,B-Type
7,6.31,_,UNK,_,CD,1,_,_,_,_,_,_,_,I-Type
8,%,_,%,_,NN,1,_,_,_,_,_,_,_,I-Type
9,efficiency,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Type
10,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Type
1,understanding,_,UNK,_,VBG,1,_,_,_,_,_,_,_,B-Time
2,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Time
3,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Time
4,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Time
5,hysteresis,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Time
6,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Time
7,slow,_,slow,_,JJ,1,_,_,_,_,_,slow.a,Taking_time,S-Degree
8,time,_,time,_,NN,1,_,_,_,_,_,_,_,B-Activity
9,component,_,component,_,NN,1,_,_,_,_,_,_,_,I-Activity
10,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Activity
11,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Activity
12,aging,_,age,_,VBG,1,_,_,_,_,_,_,_,I-Activity
13,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Activity
14,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Activity
15,perovskite,_,UNK,_,VBP,1,_,_,_,_,_,_,_,I-Activity
16,solar,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Activity
17,cells,_,cell,_,NNS,1,_,_,_,_,_,_,_,I-Activity
18,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Activity
19,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Activity
20,role,_,role,_,NN,1,_,_,_,_,_,_,_,I-Activity
21,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Activity
22,a,_,a,_,DT,1,_,_,_,_,_,_,_,I-Activity
23,compensated,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Activity
24,electric,_,electric,_,JJ,1,_,_,_,_,_,_,_,I-Activity
25,field,_,field,_,NN,1,_,_,_,_,_,_,_,I-Activity
26,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Activity
1,understanding,_,UNK,_,VBG,1,_,_,_,_,_,_,_,B-Unit
2,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Unit
3,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Unit
4,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Unit
5,hysteresis,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Unit
6,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Unit
7,slow,_,slow,_,JJ,1,_,_,_,_,_,_,_,I-Unit
8,time,_,time,_,NN,1,_,_,_,_,_,time.n,Measure_duration,O
9,component,_,component,_,NN,1,_,_,_,_,_,_,_,B-Unit
10,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Unit
11,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Unit
12,aging,_,age,_,VBG,1,_,_,_,_,_,_,_,I-Unit
13,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Unit
14,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Unit
15,perovskite,_,UNK,_,VBP,1,_,_,_,_,_,_,_,I-Unit
16,solar,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Unit
17,cells,_,cell,_,NNS,1,_,_,_,_,_,_,_,I-Unit
18,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Unit
19,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Unit
20,role,_,role,_,NN,1,_,_,_,_,_,_,_,I-Unit
21,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Unit
22,a,_,a,_,DT,1,_,_,_,_,_,_,_,I-Unit
23,compensated,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Unit
24,electric,_,electric,_,JJ,1,_,_,_,_,_,_,_,I-Unit
25,field,_,field,_,NN,1,_,_,_,_,_,_,_,I-Unit
26,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Unit
1,understanding,_,UNK,_,VBG,1,_,_,_,_,_,_,_,B-Use
2,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Use
3,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Use
4,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Use
5,hysteresis,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Use
6,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Use
7,slow,_,slow,_,JJ,1,_,_,_,_,_,_,_,I-Use
8,time,_,time,_,NN,1,_,_,_,_,_,_,_,I-Use
9,component,_,component,_,NN,1,_,_,_,_,_,component.n,Ingredients,O
10,",",_,",",_,",",1,_,_,_,_,_,_,_,B-Name
11,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Name
12,aging,_,age,_,VBG,1,_,_,_,_,_,_,_,I-Name
13,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Name
14,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Name
15,perovskite,_,UNK,_,VBP,1,_,_,_,_,_,_,_,I-Name
16,solar,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Name
17,cells,_,cell,_,NNS,1,_,_,_,_,_,_,_,I-Name
18,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Name
19,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Name
20,role,_,role,_,NN,1,_,_,_,_,_,_,_,I-Name
21,of,_,of,_,IN,1,_,_,_,_,_,_,_,I-Name
22,a,_,a,_,DT,1,_,_,_,_,_,_,_,I-Name
23,compensated,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Name
24,electric,_,electric,_,JJ,1,_,_,_,_,_,_,_,I-Name
25,field,_,field,_,NN,1,_,_,_,_,_,_,_,I-Name
26,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Name
1,understanding,_,UNK,_,VBG,1,_,_,_,_,_,_,_,B-Entity
2,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Entity
3,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Entity
4,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Entity
5,hysteresis,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Entity
6,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Entity
7,slow,_,slow,_,JJ,1,_,_,_,_,_,_,_,I-Entity
8,time,_,time,_,NN,1,_,_,_,_,_,_,_,I-Entity
9,component,_,component,_,NN,1,_,_,_,_,_,_,_,I-Entity
10,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Entity
11,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Entity
12,aging,_,age,_,VBG,1,_,_,_,_,_,age.v,Aging,O
13,in,_,in,_,IN,1,_,_,_,_,_,_,_,B-Manner
14,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Manner
15,perovskite,_,UNK,_,VBP,1,_,_,_,_,_,_,_,I-Manner
16,solar,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Manner
17,cells,_,cell,_,NNS,1,_,_,_,_,_,_,_,I-Manner
18,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Manner
19,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Manner
20,role,_,role,_,NN,1,_,_,_,_,_,_,_,O
21,of,_,of,_,IN,1,_,_,_,_,_,_,_,O
22,a,_,a,_,DT,1,_,_,_,_,_,_,_,O
23,compensated,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
24,electric,_,electric,_,JJ,1,_,_,_,_,_,_,_,O
25,field,_,field,_,NN,1,_,_,_,_,_,_,_,O
26,.,_,.,_,.,1,_,_,_,_,_,_,_,O
1,understanding,_,UNK,_,VBG,1,_,_,_,_,_,_,_,B-Use
2,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Use
3,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Use
4,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Use
5,hysteresis,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Use
6,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Use
7,slow,_,slow,_,JJ,1,_,_,_,_,_,_,_,I-Use
8,time,_,time,_,NN,1,_,_,_,_,_,_,_,I-Use
9,component,_,component,_,NN,1,_,_,_,_,_,_,_,I-Use
10,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Use
11,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Use
12,aging,_,age,_,VBG,1,_,_,_,_,_,_,_,I-Use
13,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Use
14,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Use
15,perovskite,_,UNK,_,VBP,1,_,_,_,_,_,_,_,I-Use
16,solar,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Use
17,cells,_,cell,_,NNS,1,_,_,_,_,_,cell.n,Building_subparts,O
18,:,_,:,_,:,1,_,_,_,_,_,_,_,B-Use
19,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Use
20,role,_,role,_,NN,1,_,_,_,_,_,_,_,O
21,of,_,of,_,IN,1,_,_,_,_,_,_,_,O
22,a,_,a,_,DT,1,_,_,_,_,_,_,_,O
23,compensated,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
24,electric,_,electric,_,JJ,1,_,_,_,_,_,_,_,O
25,field,_,field,_,NN,1,_,_,_,_,_,_,_,O
26,.,_,.,_,.,1,_,_,_,_,_,_,_,O
1,understanding,_,UNK,_,VBG,1,_,_,_,_,_,_,_,B-Performance
2,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Performance
3,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Performance
4,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Performance
5,hysteresis,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Performance
6,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Performance
7,slow,_,slow,_,JJ,1,_,_,_,_,_,_,_,I-Performance
8,time,_,time,_,NN,1,_,_,_,_,_,_,_,I-Performance
9,component,_,component,_,NN,1,_,_,_,_,_,_,_,I-Performance
10,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Performance
11,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Performance
12,aging,_,age,_,VBG,1,_,_,_,_,_,_,_,I-Performance
13,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Performance
14,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Performance
15,perovskite,_,UNK,_,VBP,1,_,_,_,_,_,_,_,I-Performance
16,solar,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Performance
17,cells,_,cell,_,NNS,1,_,_,_,_,_,_,_,I-Performance
18,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Performance
19,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Performance
20,role,_,role,_,NN,1,_,_,_,_,_,role.n,Performers_and_roles,O
21,of,_,of,_,IN,1,_,_,_,_,_,_,_,B-Performance
22,a,_,a,_,DT,1,_,_,_,_,_,_,_,I-Performance
23,compensated,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Performance
24,electric,_,electric,_,JJ,1,_,_,_,_,_,_,_,I-Performance
25,field,_,field,_,NN,1,_,_,_,_,_,_,_,I-Performance
26,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Performance
1,understanding,_,UNK,_,VBG,1,_,_,_,_,_,_,_,B-Age
2,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Age
3,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Age
4,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
5,hysteresis,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Age
6,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Age
7,slow,_,slow,_,JJ,1,_,_,_,_,_,_,_,I-Age
8,time,_,time,_,NN,1,_,_,_,_,_,_,_,I-Age
9,component,_,component,_,NN,1,_,_,_,_,_,_,_,I-Age
10,",",_,",",_,",",1,_,_,_,_,_,_,_,I-Age
11,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Age
12,aging,_,age,_,VBG,1,_,_,_,_,_,_,_,I-Age
13,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Age
14,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,I-Age
15,perovskite,_,UNK,_,VBP,1,_,_,_,_,_,_,_,I-Age
16,solar,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Age
17,cells,_,cell,_,NNS,1,_,_,_,_,_,_,_,I-Age
18,:,_,:,_,:,1,_,_,_,_,_,_,_,I-Age
19,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Age
20,role,_,role,_,NN,1,_,_,_,_,_,_,_,I-Age
21,of,_,of,_,IN,1,_,_,_,_,_,of.prep,Age,S-Degree
22,a,_,a,_,DT,1,_,_,_,_,_,_,_,B-Age
23,compensated,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Age
24,electric,_,electric,_,JJ,1,_,_,_,_,_,_,_,I-Age
25,field,_,field,_,NN,1,_,_,_,_,_,_,_,I-Age
26,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Age
1,understanding,_,UNK,_,VBG,1,_,_,_,_,_,_,_,O
2,the,_,the,_,DT,1,_,_,_,_,_,_,_,O
3,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
4,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
5,hysteresis,_,UNK,_,NN,1,_,_,_,_,_,_,_,O
6,",",_,",",_,",",1,_,_,_,_,_,_,_,O
7,slow,_,slow,_,JJ,1,_,_,_,_,_,_,_,O
8,time,_,time,_,NN,1,_,_,_,_,_,_,_,O
9,component,_,component,_,NN,1,_,_,_,_,_,_,_,O
10,",",_,",",_,",",1,_,_,_,_,_,_,_,O
11,and,_,and,_,CC,1,_,_,_,_,_,_,_,O
12,aging,_,age,_,VBG,1,_,_,_,_,_,_,_,O
13,in,_,in,_,IN,1,_,_,_,_,_,_,_,O
14,unk,_,UNK,_,NNP,1,_,_,_,_,_,_,_,O
15,perovskite,_,UNK,_,VBP,1,_,_,_,_,_,_,_,O
16,solar,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
17,cells,_,cell,_,NNS,1,_,_,_,_,_,_,_,O
18,:,_,:,_,:,1,_,_,_,_,_,_,_,O
19,the,_,the,_,DT,1,_,_,_,_,_,_,_,O
20,role,_,role,_,NN,1,_,_,_,_,_,_,_,O
21,of,_,of,_,IN,1,_,_,_,_,_,_,_,O
22,a,_,a,_,DT,1,_,_,_,_,_,_,_,O
23,compensated,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
24,electric,_,electric,_,JJ,1,_,_,_,_,_,electric.a,Electricity,O
25,field,_,field,_,NN,1,_,_,_,_,_,_,_,B-Descriptor
26,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Descriptor
1,recent,_,Recent,_,JJ,1,_,_,_,_,_,_,_,S-Domain
2,progress,_,progress,_,NN,1,_,_,_,_,_,progress.n,Progression,S-Degree
3,and,_,and,_,CC,1,_,_,_,_,_,_,_,B-Manner
4,perspective,_,perspective,_,NN,1,_,_,_,_,_,_,_,I-Manner
5,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Manner
6,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Manner
7,interfacial,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Manner
8,materials,_,material,_,NNS,1,_,_,_,_,_,_,_,I-Manner
9,for,_,for,_,IN,1,_,_,_,_,_,_,_,I-Manner
10,efficient,_,efficient,_,JJ,1,_,_,_,_,_,_,_,I-Manner
11,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Manner
12,stable,_,stable,_,JJ,1,_,_,_,_,_,_,_,I-Manner
13,polymer,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Manner
14,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Manner
15,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Manner
16,perovskite,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Manner
17,solar,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Manner
18,cells,_,cell,_,NNS,1,_,_,_,_,_,_,_,I-Manner
19,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Manner
1,recent,_,Recent,_,JJ,1,_,_,_,_,_,_,_,B-Manner
2,progress,_,progress,_,NN,1,_,_,_,_,_,_,_,I-Manner
3,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Manner
4,perspective,_,perspective,_,NN,1,_,_,_,_,_,_,_,I-Manner
5,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Manner
6,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Manner
7,interfacial,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Manner
8,materials,_,material,_,NNS,1,_,_,_,_,_,_,_,I-Manner
9,for,_,for,_,IN,1,_,_,_,_,_,for.prep,Taking_sides,S-Degree
10,efficient,_,efficient,_,JJ,1,_,_,_,_,_,_,_,B-Concessive
11,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Concessive
12,stable,_,stable,_,JJ,1,_,_,_,_,_,_,_,I-Concessive
13,polymer,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Concessive
14,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Concessive
15,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Concessive
16,perovskite,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Concessive
17,solar,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Concessive
18,cells,_,cell,_,NNS,1,_,_,_,_,_,_,_,I-Concessive
19,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Concessive
1,recent,_,Recent,_,JJ,1,_,_,_,_,_,_,_,B-Use
2,progress,_,progress,_,NN,1,_,_,_,_,_,_,_,I-Use
3,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Use
4,perspective,_,perspective,_,NN,1,_,_,_,_,_,_,_,I-Use
5,in,_,in,_,IN,1,_,_,_,_,_,_,_,I-Use
6,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Use
7,interfacial,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Use
8,materials,_,material,_,NNS,1,_,_,_,_,_,_,_,I-Use
9,for,_,for,_,IN,1,_,_,_,_,_,_,_,I-Use
10,efficient,_,efficient,_,JJ,1,_,_,_,_,_,_,_,I-Use
11,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Use
12,stable,_,stable,_,JJ,1,_,_,_,_,_,_,_,I-Use
13,polymer,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Use
14,and,_,and,_,CC,1,_,_,_,_,_,_,_,I-Use
15,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Use
16,perovskite,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Use
17,solar,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Use
18,cells,_,cell,_,NNS,1,_,_,_,_,_,cell.n,Building_subparts,O
19,.,_,.,_,.,1,_,_,_,_,_,_,_,S-Use
1,toward,_,UNK,_,IN,1,_,_,_,_,_,_,_,O
2,the,_,the,_,DT,1,_,_,_,_,_,_,_,O
3,rational,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
4,design,_,design,_,NN,1,_,_,_,_,_,_,_,O
5,of,_,of,_,IN,1,_,_,_,_,_,of.prep,Age,S-Degree
6,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,B-Age
7,transition,_,transition,_,NN,1,_,_,_,_,_,_,_,I-Age
8,metal,_,metal,_,NN,1,_,_,_,_,_,_,_,I-Age
9,oxides,_,oxide,_,NNS,1,_,_,_,_,_,_,_,I-Age
10,for,_,for,_,IN,1,_,_,_,_,_,_,_,I-Age
11,oxygen,_,oxygen,_,NN,1,_,_,_,_,_,_,_,I-Age
12,unk,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Age
13,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Age
1,toward,_,UNK,_,IN,1,_,_,_,_,_,_,_,O
2,the,_,the,_,DT,1,_,_,_,_,_,_,_,O
3,rational,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
4,design,_,design,_,NN,1,_,_,_,_,_,_,_,O
5,of,_,of,_,IN,1,_,_,_,_,_,_,_,O
6,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
7,transition,_,transition,_,NN,1,_,_,_,_,_,transition.n,Undergo_transformation,B-Degree
8,metal,_,metal,_,NN,1,_,_,_,_,_,_,_,I-Degree
9,oxides,_,oxide,_,NNS,1,_,_,_,_,_,_,_,I-Degree
10,for,_,for,_,IN,1,_,_,_,_,_,_,_,I-Degree
11,oxygen,_,oxygen,_,NN,1,_,_,_,_,_,_,_,I-Degree
12,unk,_,UNK,_,NN,1,_,_,_,_,_,_,_,I-Degree
13,.,_,.,_,.,1,_,_,_,_,_,_,_,I-Degree
1,toward,_,UNK,_,IN,1,_,_,_,_,_,_,_,B-Time
2,the,_,the,_,DT,1,_,_,_,_,_,_,_,I-Time
3,rational,_,UNK,_,JJ,1,_,_,_,_,_,_,_,I-Time
4,design,_,design,_,NN,1,_,_,_,_,_,_,_,I-Time
